Year;species_name;latin_name;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;sum
1970;Gullkarfi;Sebastes norvegicus;66448704;184206667;150814622;94362617;77256764;107198397;87787010;82084348;67242195;43091766;35295558;36260463;29683810;19688428;16154607;14226587;11661137;9562132;5638641;4577907;3740485;9394489;7686400;6319929;5124267;1175507930
1971;Gullkarfi;Sebastes norvegicus;162852575;63158151;174965168;143039705;89205116;72529613;99339200;79717805;72591619;57795871;36081339;28929376;29236157;23633264;15520680;12632290;11048932;9004905;7348948;4316431;3493080;2846490;7133931;5826783;8469969;1220717398
1972;Gullkarfi;Sebastes norvegicus;205274945;154615019;59925619;165589415;134658413;83131020;66476059;88934769;69378553;61311858;47474313;28948103;22780727;22689240;18129450;11794475;9524362;8274888;6706179;5447262;3186936;2570721;2089267;5224890;10138926;1294275409
1973;Gullkarfi;Sebastes norvegicus;157639301;194996927;146522900;56715226;155976547;125783869;76642477;60215999;78896597;60225709;52141294;39667656;23846069;18558785;18324783;14540566;9405922;7559357;6540867;5282618;4278486;2497013;2010089;1630829;11575790;1331475676
1974;Gullkarfi;Sebastes norvegicus;445352769;149816170;184989647;138358643;53424588;145835161;116303167;69821100;53912531;69368935;52062676;44420203;33404298;19906007;15392735;15125314;11956568;7710860;6181276;5336686;4301938;3478552;2027302;1630014;10226241;1660343381
1975;Gullkarfi;Sebastes norvegicus;214989990;423067255;142023935;174518834;129338650;49719280;134202617;105484272;62249774;47196969;59654757;44057491;37073971;27565126;16275995;12492279;12199906;9593873;6159624;4918695;4232137;3401414;2743280;1595185;8888399;1733643708
1976;Gullkarfi;Sebastes norvegicus;114896474;204142968;400658392;133748828;162697836;118777768;45342523;120531573;93055545;53846780;40023185;49643061;36047983;29886655;21939651;12813246;9742112;9436184;7366777;4699477;3731327;3193985;2555306;2052554;7437351;1688267541
1977;Gullkarfi;Sebastes norvegicus;190846114;108852433;192565256;374622225;123320231;147050653;104695848;39517905;102679423;77252961;43465206;31384609;37823531;26716171;21575903;15458398;8830291;6582688;6266732;4819511;3035383;2383904;2021562;1604610;5621874;1678993422
1978;Gullkarfi;Sebastes norvegicus;186248745;181283899;103181879;181658618;350152664;113780631;133505143;93378290;34972712;89597674;66433099;36840037;26241919;31241186;21832263;17468163;12414457;7041190;5215976;4937696;3778089;2368587;1852513;1564986;5324962;1712315378
1979;Gullkarfi;Sebastes norvegicus;126375314;176932650;171896301;97458107;170390594;324935376;104256962;120636454;83194780;30969076;78507229;57586197;31593858;22274787;26262400;18187299;14426964;10169074;5722002;4206386;3952716;3003042;1870052;1453333;5100185;1691361138
1980;Gullkarfi;Sebastes norvegicus;161367816;120041037;167648788;161920282;90855281;156424163;292356621;91849302;104063662;70358714;25970434;64928626;46975524;25428484;17698741;20611347;14104321;11055304;7698687;4278467;3105659;2881380;2161347;1329207;4298811;1669412005
1981;Gullkarfi;Sebastes norvegicus;97675712;153216179;113655041;157688440;150486472;83036434;140002869;255402077;78384719;86854836;57540785;21054219;51896532;37017392;19756278;13560313;15575732;10513423;8126686;5579502;3056132;2186196;1998996;1478046;3534010;1569277021
1982;Gullkarfi;Sebastes norvegicus;84711815;92726508;144969941;106724692;146006927;136490891;73495502;120617226;213843238;63954066;69223060;44924623;16293223;39611402;27876850;14685168;9954985;11300014;7541868;5766344;3917170;2123513;1503933;1362018;3205124;1442830101
1983;Gullkarfi;Sebastes norvegicus;62558962;80361784;87579584;135509336;97933790;130358697;117780153;61185913;96810079;165455560;47917273;50407946;31916596;11452408;27391456;18973675;9843549;6577098;7364975;4853412;3666356;2462419;1320579;925866;2642419;1263249885
1984;Gullkarfi;Sebastes norvegicus;64474867;59398678;76024387;82120831;124952123;88158466;113866754;99534035;50086402;76871912;127608438;36053233;37121992;23076133;8213788;19406092;13280453;6807380;4494441;4973273;3238505;2416986;1603557;849434;2128861;1126761021
1985;Gullkarfi;Sebastes norvegicus;70018502;61259188;56256972;71402241;75921262;112809988;77347752;96806060;81993003;40101195;59966630;97166141;26898388;27205138;16645652;5882691;13741089;9291384;4701651;3061478;3337419;2138701;1568812;1021912;1720346;1018263595
1986;Gullkarfi;Sebastes norvegicus;126323787;66547145;58068310;52952962;66312016;69137552;100233650;66956935;81627268;67434722;32265608;47291807;75169496;20454260;20351507;12254583;4298118;9909592;6602726;3285624;2099466;2241056;1403319;1003650;1565895;995791054
1987;Gullkarfi;Sebastes norvegicus;120277130;120044116;63055804;54600228;49074967;60157389;61115154;86115080;55965406;66480355;53648109;25162118;36230372;56633256;15185559;14903318;8857288;3087341;7044779;4640648;2280147;1436777;1510463;930400;1572974;970009178
1988;Gullkarfi;Sebastes norvegicus;61832793;114308061;113731800;59244195;50492763;44345068;52834786;52069690;71166335;44990173;52128078;41156046;18952813;26849741;41328986;10930596;10588264;6213775;2152788;4862729;3167522;1537042;955348;989484;1520941;888349817
1989;Gullkarfi;Sebastes norvegicus;38144755;58734860;108130777;106372379;54249418;44825985;37913267;43358458;41040579;53980282;32999106;37122175;28570902;12882538;17914938;27100897;7058508;6740224;3902291;1343189;3002111;1933265;926487;568175;1395226;770210792
1990;Gullkarfi;Sebastes norvegicus;41482034;36254283;55667699;101681895;98499708;49130346;39516316;32474237;36089436;33264211;42702024;25568450;28248124;21402967;9523751;13086099;19565176;5040924;4763163;2729372;934727;2071868;1322086;627260;1243181;702889337
1991;Gullkarfi;Sebastes norvegicus;339015726;39415417;34319567;52164966;93390754;87769862;42215310;32661769;25842808;27720547;24762825;30926772;18103963;19626889;14639663;6432874;8744239;12944336;3306280;3099182;1762655;601473;1325564;840681;1128768;922762890
1992;Gullkarfi;Sebastes norvegicus;56022543;321962499;37286141;32152519;47998437;83631237;75982914;35260217;26335878;20166121;20996105;18271848;22298931;12802830;13649673;10035151;4356276;5857037;8579499;2170686;2016589;1137309;386494;846290;1199947;861403171
1993;Gullkarfi;Sebastes norvegicus;37653375;53230325;304592137;34888702;29488980;42754967;71800109;62642256;27946652;20125085;14916534;15088080;12805200;15283507;8609255;9023338;6531439;2796043;3709226;5359062;1338183;1227139;683338;230754;1155108;783878794
1994;Gullkarfi;Sebastes norvegicus;50789575;35770343;50377033;284943221;31969850;26248925;36737300;59314347;49727403;21384898;14901367;10731431;10583269;8786151;10281312;5692646;5873531;4190098;1770252;2318685;3306488;815430;738673;406480;770603;728429311
1995;Gullkarfi;Sebastes norvegicus;60138052;48254120;33866790;47268161;262186512;28631342;22774641;30808822;48039832;38954185;16262191;11040639;7773508;7514537;6129171;7056238;3850026;3917675;2757974;1150910;1489263;2097068;510942;457353;686362;693616314
1996;Gullkarfi;Sebastes norvegicus;317331053;57145653;45681865;31749847;43513169;234099799;24675305;18922331;24691055;37183204;29199375;11854681;7855907;5415987;5137393;4118631;4663923;2505555;2510984;1741157;716162;913347;1266560;304042;638248;913835233
1997;Gullkarfi;Sebastes norvegicus;81398739;301587697;54142429;42926445;29392361;39429398;205947046;21063055;15697459;19947198;29307111;22505786;8961079;5837188;3962567;3704543;2928890;3270587;1733122;1712906;1171151;475189;597733;816897;567147;899083723
1998;Gullkarfi;Sebastes norvegicus;37507892;77369453;285741969;50857800;39671790;26545194;34635215;174867398;17320966;12542305;15530497;22281163;16742963;6538676;4184261;2793342;2568659;1997509;2192393;1141798;1108449;744100;296571;366361;800966;836347690
1999;Gullkarfi;Sebastes norvegicus;37852805;35649974;73325631;268371929;46967466;35757326;23254967;29444505;143768023;13823501;9756265;11812188;16603848;12245919;4702394;2962117;1947784;1764184;1351060;1459277;747823;714013;471256;184762;676104;775615121
2000;Gullkarfi;Sebastes norvegicus;74593652;35977069;33782341;68905060;247587283;42191609;31108199;19572464;23999710;113319395;10590198;7300199;8664954;11970861;8696053;3295808;2052033;1335066;1196989;907699;970698;492639;465803;304458;521361;749801601
2001;Gullkarfi;Sebastes norvegicus;46285872;70894032;34086657;31741602;63704249;222822654;36773894;26212487;15974046;19025349;87245004;7957996;5377908;6277794;8546588;6127634;2295469;1413994;910744;808544;607198;642919;323116;302527;506770;696865047
2002;Gullkarfi;Sebastes norvegicus;100585288;43997544;67208654;32082490;29474871;57979437;197309601;31645295;21944200;13049865;15212784;68306063;6122511;4078049;4701444;6327911;4488604;1664741;1015660;648067;569930;423954;444500;221232;523841;710026536
2003;Gullkarfi;Sebastes norvegicus;108991221;95351703;41657390;62982044;29494611;26363240;50127843;163798114;25271028;16918646;9764489;11095904;48605934;4268781;2795648;3176127;4217439;2953462;1082240;652626;411711;357951;263233;272751;427647;711301783
2004;Gullkarfi;Sebastes norvegicus;159488709;103399408;89809738;39164177;58312286;26723426;23283111;43062214;136531518;20501768;13406805;7588560;8483626;36583002;3171071;2053983;2310927;3040575;2110567;766882;458677;287042;247556;180588;456377;781422593
2005;Gullkarfi;Sebastes norvegicus;99094063;151361969;97525123;83632211;36391657;53163507;23832240;20297734;36712292;113798589;16761733;10785568;6025890;6664480;28443210;2444252;1571589;1756593;2296777;1584588;572415;340427;211862;181709;444258;795894736
2006;Gullkarfi;Sebastes norvegicus;150476408;93979515;142345469;90132194;75283213;32652587;46225691;20065736;16576597;29143090;87860210;12641037;7974722;4383028;4779247;20103549;1705126;1083290;1197030;1547192;1055017;376734;221495;136289;375881;842320347
2007;Gullkarfi;Sebastes norvegicus;147894611;142732468;88464449;131808404;81428666;66009135;28550186;39198454;16535868;13319928;22903151;67639609;9572709;5960958;3243743;3509259;14655074;1235747;781321;859785;1107068;752202;267710;156902;346699;888934106
2008;Gullkarfi;Sebastes norvegicus;95899877;140010119;134519510;82213040;119814665;72059431;56787372;24509636;32776861;13510802;10672133;18045840;52489235;7339395;4526881;2445256;2629732;10920335;916476;577120;632789;812006;549912;195109;351652;885205184
2009;Gullkarfi;Sebastes norvegicus;116774766;90712189;130785412;124490494;74258328;104983147;61183944;46806555;20165491;26283498;10604545;8231802;13719954;39398996;5454393;3338231;1792521;1918632;7931829;663180;416287;455152;582506;393487;376521;891721860
2010;Gullkarfi;Sebastes norvegicus;179424737;110594744;85083925;120568305;113626702;66207387;91256389;51934152;38907387;16744353;21450037;8534417;6551832;10821644;30829456;4241563;2583274;1381854;1474464;6077185;506795;317405;346333;442382;568510;970475232
2011;Gullkarfi;Sebastes norvegicus;151394554;169924367;103803300;78655663;109233087;101949308;58149190;78504917;43877185;32376468;13924010;17619619;6941804;5287344;8675609;24565634;3362729;2039282;1086936;1156109;4749444;394900;246667;268486;758283;1018944895
2012;Gullkarfi;Sebastes norvegicus;81067264;143340191;159271715;95653903;70926736;96181591;88862256;49614803;65715548;36159091;26350166;11326692;14194175;5550146;4202483;6862225;19345794;2638687;1595384;848204;900208;3689856;306180;190905;762877;985557080
2013;Gullkarfi;Sebastes norvegicus;120473255;76792316;134581919;147186604;86599497;62819446;83376974;76380620;41906282;54680593;29731310;21464507;9223330;11474659;4461368;3362895;5470547;15368149;2089926;1260367;668632;708260;2897314;239987;715256;993934013
2014;Gullkarfi;Sebastes norvegicus;74134227;114065584;72012210;124044961;132540938;76062959;53901335;70061782;63687718;34400233;44317443;23862652;17100262;7346153;9087944;3518188;2643016;4287482;12013526;1630191;981297;519768;549815;2245973;710934;945726591
2015;Gullkarfi;Sebastes norvegicus;35379631;70222033;107100499;66609282;112408563;117365864;65893438;45817743;58607647;52971547;28285453;36107098;19307386;13763263;5911556;7283869;2811037;2106604;3410319;9537540;1292147;776760;410966;434300;2304789;866119334
2016;Gullkarfi;Sebastes norvegicus;10682558;33517103;65963047;99087800;60430679;99741154;101878009;56118783;38423508;48541395;43684960;23127678;29325362;15602170;11079439;4758183;5845370;2250602;1683410;2720758;7597093;1027853;617147;326186;2080443;766110690
2017;Gullkarfi;Sebastes norvegicus;12942293;10112778;31434867;60841714;89336857;53166788;85617876;85509519;46238694;31202396;38967143;34929882;18346170;23116113;12239215;8658471;3717957;4553679;1748980;1305554;2106317;5871324;793188;475638;1771412;665004825
2018;Gullkarfi;Sebastes norvegicus;34970866;12252864;9489705;29040291;55026939;78886894;45900156;72396226;71024784;37864376;25271555;31282701;27953963;14587311;18278113;9632094;6785748;2913200;3554503;1360450;1012218;1627864;4522172;608954;1643578;597887525
2019;Gullkarfi;Sebastes norvegicus;4345306;33111157;11499607;8775210;26313419;48718399;68242434;38917270;60322434;58336530;30757076;20355492;25028666;22312447;11586098;14456077;7590446;5330293;2287994;2783521;1062511;788574;1265133;3505484;1671769;509363347
2020;Gullkarfi;Sebastes norvegicus;8036272;4116229;31081900;10634117;7960610;23353489;42299456;58075241;32585890;49836567;47685519;24940107;16406067;20075334;17865884;9243599;11496633;6019750;4216648;1809737;2196545;836634;619667;992175;3980354;436364424
2021;Gullkarfi;Sebastes norvegicus;18644392;7610477;3865766;28731230;9636455;7063062;20281877;36017605;48612639;26913282;40713697;38617360;20060958;13126460;15990624;14207018;7324098;9079099;4739656;3310759;1420735;1719903;653491;482913;3702597;382526153
2022;Gullkarfi;Sebastes norvegicus;25504638;17652567;7141375;3573171;25972909;8511148;6103813;17175820;29972106;39875738;21840090;32763541;30879017;15966353;10411578;12649819;11228593;5777745;7150963;3728287;2601471;1116309;1350113;512572;3134738;342594474
